subID,blockID,trialID,mapID,condition,checkTrial,fullscreenOn,time,mousePos,click,undo,submit,choiceDyn,choiceHis,choiceLocDyn,choiceLoc,budgetDyn,budgetHis,cityNr,checkEnd,checkPass
6125bfc97c42f9bc6fdef701,0,0,44,3,0,1,196,"[""703.88"",""597.92""]",0,0,0,[0],0,"[[715,282]]","[715,282]",[300],300,0,0,
6125bfc97c42f9bc6fdef701,0,0,44,3,0,1,252,"[""703.88"",""597.92""]",0,0,0,[0],0,"[[715,282]]","[715,282]",[300],300,0,0,
6125bfc97c42f9bc6fdef701,0,0,44,3,0,1,302,"[""703.88"",""597.92""]",0,0,0,[0],0,"[[715,282]]","[715,282]",[300],300,0,0,
6125bfc97c42f9bc6fdef701,0,0,44,3,0,1,386,"[""703.88"",""597.92""]",0,0,0,[0],0,"[[715,282]]","[715,282]",[300],300,0,0,
6125bfc97c42f9bc6fdef701,0,0,44,3,0,1,486,"[""703.88"",""597.92""]",0,0,0,[0],0,"[[715,282]]","[715,282]",[300],300,0,0,
6125bfc97c42f9bc6fdef701,0,0,44,3,0,1,587,"[""703.88"",""597.92""]",0,0,0,[0],0,"[[715,282]]","[715,282]",[300],300,0,0,
6125bfc97c42f9bc6fdef701,0,0,44,3,0,1,686,"[""703.88"",""597.92""]",0,0,0,[0],0,"[[715,282]]","[715,282]",[300],300,0,0,
6125bfc97c42f9bc6fdef701,0,0,44,3,0,1,786,"[""703.88"",""597.92""]",0,0,0,[0],0,"[[715,282]]","[715,282]",[300],300,0,0,
6125bfc97c42f9bc6fdef701,0,0,44,3,0,1,886,"[""703.88"",""597.92""]",0,0,0,[0],0,"[[715,282]]","[715,282]",[300],300,0,0,
6125bfc97c42f9bc6fdef701,0,0,44,3,0,1,986,"[""703.88"",""597.92""]",0,0,0,[0],0,"[[715,282]]","[715,282]",[300],300,0,0,
6125bfc97c42f9bc6fdef701,0,0,44,3,0,1,1086,"[""703.88"",""597.92""]",0,0,0,[0],0,"[[715,282]]","[715,282]",[300],300,0,0,
6125bfc97c42f9bc6fdef701,0,0,44,3,0,1,1187,"[""703.88"",""597.92""]",0,0,0,[0],0,"[[715,282]]","[715,282]",[300],300,0,0,
6125bfc97c42f9bc6fdef701,0,0,44,3,0,1,1287,"[""703.88"",""597.92""]",0,0,0,[0],0,"[[715,282]]","[715,282]",[300],300,0,0,
6125bfc97c42f9bc6fdef701,0,0,44,3,0,1,1386,"[""703.88"",""597.92""]",0,0,0,[0],0,"[[715,282]]","[715,282]",[300],300,0,0,
6125bfc97c42f9bc6fdef701,0,0,44,3,0,1,1487,"[""706.80"",""574.59""]",0,0,0,[0],0,"[[715,282]]","[715,282]",[300],300,0,0,
6125bfc97c42f9bc6fdef701,0,0,44,3,0,1,1586,"[""696.11"",""526.95""]",0,0,0,[0],0,"[[715,282]]","[715,282]",[300],300,0,0,
6125bfc97c42f9bc6fdef701,0,0,44,3,0,1,1689,"[""666.94"",""486.11""]",0,0,0,[0],0,"[[715,282]]","[715,282]",[300],300,0,0,
6125bfc97c42f9bc6fdef701,0,0,44,3,0,1,1788,"[""632.91"",""473.47""]",0,0,0,[0],0,"[[715,282]]","[715,282]",[300],300,0,0,
6125bfc97c42f9bc6fdef701,0,0,44,3,0,1,1886,"[""632.91"",""473.47""]",0,0,0,[0],0,"[[715,282]]","[715,282]",[300],300,0,0,
