subID,blockID,trialID,mapID,condition,checkTrial,fullscreenOn,time,mousePos,click,undo,submit,choiceDyn,choiceHis,choiceLocDyn,choiceLoc,budgetDyn,budgetHis,cityNr,checkEnd,checkPass
57901207c9abeb0001af353e,0,0,40,3,0,1,3486,"[""868.88"",""381.48""]",0,0,0,[0],0,"[[844,369]]","[844,369]",[300],300,0,0,
57901207c9abeb0001af353e,0,0,40,3,0,1,3586,"[""853.33"",""405.18""]",0,0,0,[0],0,"[[844,369]]","[844,369]",[300],300,0,0,
57901207c9abeb0001af353e,0,0,40,3,0,1,3686,"[""851.85"",""409.62""]",0,0,0,[0],0,"[[844,369]]","[844,369]",[300],300,0,0,
57901207c9abeb0001af353e,0,0,40,3,0,1,3785,"[""851.85"",""411.11""]",0,0,0,[0],0,"[[844,369]]","[844,369]",[300],300,0,0,
57901207c9abeb0001af353e,0,0,40,3,0,1,3885,"[""851.85"",""411.11""]",0,0,0,[0],0,"[[844,369]]","[844,369]",[300],300,0,0,
57901207c9abeb0001af353e,0,0,40,3,0,1,3985,"[""851.11"",""411.11""]",0,0,0,[0],0,"[[844,369]]","[844,369]",[300],300,0,0,
57901207c9abeb0001af353e,0,0,40,3,0,1,4084,"[""850.37"",""412.59""]",0,0,0,[0],0,"[[844,369]]","[844,369]",[300],300,0,0,
57901207c9abeb0001af353e,0,0,40,3,0,1,4184,"[""850.37"",""412.59""]",0,0,0,[0],0,"[[844,369]]","[844,369]",[300],300,0,0,
57901207c9abeb0001af353e,0,0,40,3,0,1,4284,"[""849.62"",""412.59""]",0,0,0,[0],0,"[[844,369]]","[844,369]",[300],300,0,0,
57901207c9abeb0001af353e,0,0,40,3,0,1,4383,"[""849.62"",""412.59""]",0,0,0,[0],0,"[[844,369]]","[844,369]",[300],300,0,0,
57901207c9abeb0001af353e,0,0,40,3,0,1,4483,"[""849.62"",""412.59""]",0,0,0,[0],0,"[[844,369]]","[844,369]",[300],300,0,0,
57901207c9abeb0001af353e,0,0,40,3,0,1,4583,"[""850.37"",""412.59""]",0,0,0,[0],0,"[[844,369]]","[844,369]",[300],300,0,0,
57901207c9abeb0001af353e,0,0,40,3,0,1,4683,"[""874.07"",""407.40""]",0,0,0,[0],0,"[[844,369]]","[844,369]",[300],300,0,0,
57901207c9abeb0001af353e,0,0,40,3,0,1,4782,"[""883.70"",""397.03""]",0,0,0,[0],0,"[[844,369]]","[844,369]",[300],300,0,0,
57901207c9abeb0001af353e,0,0,40,3,0,1,4882,"[""883.70"",""397.03""]",0,0,0,[0],0,"[[844,369]]","[844,369]",[300],300,0,0,
57901207c9abeb0001af353e,0,0,40,3,0,1,4982,"[""875.55"",""411.11""]",0,0,0,[0],0,"[[844,369]]","[844,369]",[300],300,0,0,
57901207c9abeb0001af353e,0,0,40,3,0,1,5082,"[""875.55"",""411.85""]",0,0,0,[0],0,"[[844,369]]","[844,369]",[300],300,0,0,
57901207c9abeb0001af353e,0,0,40,3,0,1,5182,"[""872.59"",""419.25""]",0,0,0,[0],0,"[[844,369]]","[844,369]",[300],300,0,0,
57901207c9abeb0001af353e,0,0,40,3,0,1,5281,"[""865.92"",""439.25""]",0,0,0,[0],0,"[[844,369]]","[844,369]",[300],300,0,0,
57901207c9abeb0001af353e,0,0,40,3,0,1,5381,"[""865.18"",""454.81""]",0,0,0,[0],0,"[[844,369]]","[844,369]",[300],300,0,0,
57901207c9abeb0001af353e,0,0,40,3,0,1,5481,"[""869.62"",""470.37""]",0,0,0,[0],0,"[[844,369]]","[844,369]",[300],300,0,0,
57901207c9abeb0001af353e,0,0,40,3,0,1,5580,"[""841.48"",""491.85""]",0,0,0,[0],0,"[[844,369]]","[844,369]",[300],300,0,0,
57901207c9abeb0001af353e,0,0,40,3,0,1,5680,"[""835.55"",""493.33""]",0,0,0,[0],0,"[[844,369]]","[844,369]",[300],300,0,0,
57901207c9abeb0001af353e,0,0,40,3,0,1,5780,"[""831.11"",""492.59""]",0,0,0,[0],0,"[[844,369]]","[844,369]",[300],300,0,0,
57901207c9abeb0001af353e,0,0,40,3,0,1,5879,"[""828.14"",""487.40""]",0,0,0,[0],0,"[[844,369]]","[844,369]",[300],300,0,0,
57901207c9abeb0001af353e,0,0,40,3,0,1,5979,"[""819.25"",""487.40""]",0,0,0,[0],0,"[[844,369]]","[844,369]",[300],300,0,0,
57901207c9abeb0001af353e,0,0,40,3,0,1,6079,"[""808.14"",""485.92""]",0,0,0,[0],0,"[[844,369]]","[844,369]",[300],300,0,0,
57901207c9abeb0001af353e,0,0,40,3,0,1,6179,"[""814.07"",""480""]",0,0,0,[0],0,"[[844,369]]","[844,369]",[300],300,0,0,
57901207c9abeb0001af353e,0,0,40,3,0,1,6279,"[""882.22"",""438.51""]",0,0,0,[0],0,"[[844,369]]","[844,369]",[300],300,0,0,
57901207c9abeb0001af353e,0,0,40,3,0,1,6378,"[""892.59"",""417.03""]",0,0,0,[0],0,"[[844,369]]","[844,369]",[300],300,0,0,
57901207c9abeb0001af353e,0,0,40,3,0,1,6478,"[""897.77"",""401.48""]",0,0,0,[0],0,"[[844,369]]","[844,369]",[300],300,0,0,
